,,,,,,,,,
Store,item,price,type,Cal,pic,,,,
7-11,＊黑貓美食[興達港歐董] 旗魚黑輪(有蛋)(1台斤),140,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】酒釀芝麻包8粒(盒),142,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】芝麻流沙包6粒(盒),146,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】涼拌海帶芽200g包x3包裝,149,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】抹茶紅豆包8粒包,149,主食,,,,,,
7-11,＊黑貓美食[喜生]熱銷王,150,主食,,,,,,
7-11,＊黑貓美食 [花蓮一品香扁食]  鮮肉雲吞炒手(20粒),150,主食,,,,,,
7-11,＊[小潘]青木瓜絲(小辣)(600g),150,主食,,,,,,
7-11,＊[小潘]小潘高麗菜(微辣)(600g),150,主食,,,,,,
7-11,＊黑貓美食[犒吆包] 豬肉起司包(5顆),150,主食,,,,,,
7-11,＊黑貓美食 [北灣食品]紫藷地瓜(500g),150,主食,,,,,,
7-11,＊[小潘]青木瓜絲(大辣)(600g),150,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】上選鳳爪200g包x3包裝,150,主食,,,,,,
7-11,＊黑貓美食[喜生] 豬寶貝,150,主食,,,,,,
7-11,＊[小潘]小潘海帶絲(大辣)(600g),150,主食,,,,,,
茶湯會,觀音拿鐵,49,飲料,,,,,,
茶湯會,翡翠檸檬,49,飲料,,,,,,
茶湯會,養樂多優酪綠,55,飲料,,,,,,
茶湯會,蔗香紅茶,25,飲料,,,,,,
茶湯會,特級翡翠綠,30,飲料,,,,,,
茶湯會,珍珠紅茶,35,飲料,,,,,,
茶湯會,包種清茶,35,飲料,,,,,,
茶湯會,冬瓜鐵觀音,35,飲料,,,,,,
茶湯會,青梅凍飲,40,飲料,,,,,,
茶湯會,蜜香清茶,45,飲料,,,,,,
茶湯會,百香綠茶,45,飲料,,,,,,
茶湯會,冬瓜檸檬,45,飲料,,,,,,
茶湯會,鮮桔檸檬,49,飲料,,,,,,
茶湯會,檸檬蜜茶,50,飲料,,,,,,
茶湯會,檸檬蘆薈蜜,55,飲料,,,,,,
茶湯會,豆漿奶茶,39,飲料,,,,,,
茶湯會,茉香奶茶,40,飲料,,,,,,
茶湯會,鐵觀音奶茶,45,飲料,,,,,,
茶湯會,布丁奶茶,49,飲料,,,,,,
茶湯會,紅茶拿鐵,55,飲料,,,,,,
茶湯會,觀音珍珠拿鐵,55,飲料,,,,,,
茶湯會,芋香紅茶拿鐵,55,飲料,,,,,,
茶湯會,紅茶珍珠拿鐵,60,飲料,,,,,,
茶湯會,蔓越莓冰醋,55,飲料,,,,,,
茶湯會,東方美人,60,飲料,,,,,,
茶湯會,原味薑茶,45,飲料,,,,,,
茶湯會,薑汁檸檬,55,飲料,,,,,,
茶湯會,桂圓紅棗茶,55,飲料,,,,,,
85度C,北海道牛奶吐司,$75,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E5%8C%97%E6%B5%B7%E9%81%93%E7%89%9B%E5%A5%B6%E5%90%90%E5%8F%B8.jpg,,,,
85度C,丹麥椰子奶酥菠蘿,$32,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E6%A4%B0%E5%AD%90%E5%A5%B6%E9%85%A5%E6%B3%A2%E8%98%BF.jpg,,,,
85度C,香蒜菠蘿小吐司,$28,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E9%A6%99%E8%92%9C%E8%8F%A0%E8%98%BF%E5%B0%8F%E5%90%90%E5%8F%B8.jpg,,,,
85度C,年輪菠蘿小吐司,$28,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E5%B9%B4%E8%BC%AA%E8%8F%A0%E8%98%BF%E5%B0%8F%E5%90%90%E5%8F%B81.jpg,,,,
85度C,丹麥咖啡菠蘿,$28,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E5%92%96%E5%95%A1%E6%B3%A2%E8%98%BF.jpg,,,,
85度C,法式糖霜起酥(單),$18,麵包,,http://www.85cafe.com/file/product/w500/%E4%B8%B9%E9%BA%A5-%E6%B3%95%E5%BC%8F%E7%B3%96%E9%9C%9C%E8%B5%B7%E9%85%A5.jpg,,,,
